"","w","h","A"
"8",111,73,8103
"9",111,73,8103
"10",112,73,8176
"11",112,73,8176
"12",112,73,8176
"13",112,73,8176
"14",112,73,8176
"15",112,73,8176
"16",113,73,8249
"17",114,73,8322
"18",114,74,8436
"19",114,73,8322
"20",114,74,8436
"21",114,74,8436
"22",114,74,8436
"23",112,74,8288
"24",112,74,8288
"25",114,74,8436
"26",114,74,8436
"27",114,74,8436
"28",114,74,8436
"29",114,74,8436
"35",114,74,8436
"36",114,74,8436
"37",114,74,8436
"38",114,74,8436
"39",114,74,8436
"40",114,74,8436
"41",112,75,8400
"42",112,74,8288
"43",112,73,8176
"54",112,74,8288
"55",112,74,8288
"56",112,75,8400
"57",114,74,8436
