w , h , A
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
42 , 25 , 1050
42 , 26 , 1092
42 , 25 , 1050
42 , 27 , 1134
42 , 26 , 1092
42 , 26 , 1092
42 , 26 , 1092
42 , 26 , 1092
42 , 26 , 1092
42 , 26 , 1092
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
42 , 26 , 1092
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
40 , 26 , 1040
42 , 26 , 1092
