"","w","h","A"
"1",190,130,24700
"3",192,130,24960
"4",192,130,24960
"7",192,130,24960
"11",192,130,24960
"12",192,130,24960
"14",190,128,24320
"15",190,128,24320
"16",190,127,24130
"17",192,127,24384
"18",190,126,23940
"19",190,127,24130
"20",190,126,23940
"21",192,125,24000
"22",192,125,24000
"23",190,127,24130
"24",190,126,23940
"25",190,126,23940
"26",192,127,24384
"27",190,127,24130
"28",190,125,23750
"29",190,127,24130
"30",190,126,23940
"31",192,126,24192
"32",192,127,24384
"33",190,128,24320
"35",192,129,24768
"36",190,128,24320
"37",192,128,24576
"39",192,129,24768
"40",192,127,24384
"41",190,128,24320
"42",192,128,24576
"43",192,129,24768
"44",190,129,24510
"45",190,127,24130
"46",188,127,23876
"47",188,127,23876
"48",188,126,23688
"49",186,124,23064
"50",184,124,22816
"51",182,124,22568
"52",182,123,22386
"53",182,122,22204
"58",182,121,22022
"59",182,121,22022
"60",182,123,22386
"61",184,123,22632
"62",186,124,23064
"63",188,125,23500
"64",188,124,23312
"65",190,127,24130
"66",192,129,24768
"67",190,130,24700
"68",192,129,24768
"69",192,129,24768
"70",190,130,24700
"71",190,130,24700
"72",190,129,24510
"73",190,130,24700
"74",190,130,24700
"75",190,129,24510
"76",190,129,24510
"77",190,129,24510
"78",190,130,24700
"86",188,129,24252
"87",188,127,23876
"88",186,124,23064
"89",186,124,23064
"90",186,122,22692
"91",186,122,22692
"92",186,123,22878
"93",184,122,22448
"94",184,122,22448
"95",184,121,22264
"96",184,122,22448
"97",184,123,22632
"98",188,123,23124
"99",186,123,22878
"100",186,123,22878
"101",184,121,22264
"102",186,119,22134
