"","w","h","A"
"1",38,22,836
"2",36,23,828
"3",36,22,792
"4",36,23,828
"5",36,23,828
"6",36,23,828
"7",36,23,828
"8",36,22,792
"9",36,23,828
"10",36,22,792
"11",36,23,828
"12",36,22,792
"13",36,23,828
"14",36,23,828
"15",36,23,828
"16",36,23,828
"17",36,23,828
"18",36,23,828
"19",36,23,828
"20",36,23,828
"21",36,22,792
"22",36,23,828
"23",36,23,828
"24",38,23,874
"25",38,23,874
"26",36,23,828
"27",36,23,828
"28",36,23,828
"29",36,23,828
"30",36,23,828
"31",36,23,828
"32",36,23,828
"33",36,23,828
"34",36,23,828
"35",36,24,864
"36",36,24,864
"37",36,23,828
"38",36,24,864
"39",36,23,828
"40",38,23,874
"41",38,24,912
"42",38,25,950
