w , h , A
54 , 35 , 1890
56 , 36 , 2016
56 , 36 , 2016
54 , 35 , 1890
54 , 35 , 1890
52 , 33 , 1716
53 , 33 , 1749
54 , 34 , 1836
56 , 37 , 2072
56 , 35 , 1960
56 , 37 , 2072
56 , 37 , 2072
56 , 35 , 1960
56 , 37 , 2072
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
58 , 37 , 2146
56 , 35 , 1960
56 , 37 , 2072
56 , 35 , 1960
56 , 37 , 2072
56 , 37 , 2072
56 , 36 , 2016
56 , 36 , 2016
56 , 37 , 2072
56 , 35 , 1960
56 , 35 , 1960
56 , 36 , 2016
56 , 37 , 2072
56 , 35 , 1960
56 , 37 , 2072
58 , 37 , 2146
56 , 36 , 2016
56 , 35 , 1960
56 , 37 , 2072
56 , 35 , 1960
56 , 36 , 2016
56 , 36 , 2016
54 , 36 , 1944
56 , 35 , 1960
56 , 36 , 2016
56 , 37 , 2072
56 , 37 , 2072
56 , 36 , 2016
56 , 38 , 2128
58 , 38 , 2204
58 , 38 , 2204
58 , 40 , 2320
58 , 40 , 2320
