w , h , A
68 , 44 , 2992
66 , 44 , 2904
66 , 44 , 2904
66 , 44 , 2904
66 , 43 , 2838
68 , 44 , 2992
68 , 44 , 2992
68 , 44 , 2992
68 , 44 , 2992
66 , 42 , 2772
66 , 44 , 2904
66 , 42 , 2772
66 , 42 , 2772
66 , 43 , 2838
68 , 44 , 2992
68 , 43 , 2924
66 , 44 , 2904
66 , 42 , 2772
66 , 43 , 2838
66 , 43 , 2838
66 , 42 , 2772
66 , 43 , 2838
68 , 44 , 2992
66 , 44 , 2904
66 , 43 , 2838
66 , 42 , 2772
68 , 44 , 2992
66 , 41 , 2706
66 , 43 , 2838
66 , 42 , 2772
66 , 43 , 2838
68 , 43 , 2924
66 , 43 , 2838
66 , 44 , 2904
66 , 42 , 2772
68 , 44 , 2992
68 , 44 , 2992
68 , 44 , 2992
68 , 45 , 3060
68 , 45 , 3060
68 , 44 , 2992
68 , 42 , 2856
70 , 42 , 2940
68 , 43 , 2924
70 , 43 , 3010
68 , 41 , 2788
68 , 44 , 2992
