"","w","h","A"
"1",86,56,4816
"2",86,56,4816
"3",84,55,4620
"4",84,56,4704
"5",84,56,4704
"6",84,56,4704
"7",84,56,4704
"8",84,56,4704
"9",84,56,4704
"10",84,56,4704
"11",84,54,4536
"12",84,55,4620
"13",86,55,4730
"14",86,54,4644
"15",84,55,4620
"16",84,54,4536
"17",84,54,4536
"25",84,54,4536
"26",84,55,4620
"27",84,55,4620
"28",84,55,4620
"29",86,55,4730
"30",86,56,4816
"31",86,55,4730
"32",86,56,4816
"33",86,56,4816
"34",86,55,4730
