"","w","h","A"
"3",348,237,82476
"8",346,238,82348
"9",346,237,82002
"10",344,237,81528
"11",346,233,80618
"12",344,229,78776
"13",342,230,78660
"14",344,229,78776
"15",342,230,78660
"16",344,231,79464
"17",342,231,79002
"18",346,229,79234
"19",344,229,78776
"20",344,231,79464
"21",344,231,79464
"22",344,231,79464
"23",344,229,78776
"24",344,231,79464
"25",344,231,79464
"26",344,231,79464
"27",342,231,79002
"28",344,231,79464
"29",344,231,79464
"30",344,231,79464
"31",344,231,79464
"32",342,231,79002
"33",342,231,79002
"34",342,231,79002
"35",342,231,79002
"36",344,229,78776
"37",344,230,79120
"38",344,231,79464
"39",346,229,79234
"40",346,229,79234
"41",344,229,78776
"42",344,232,79808
"43",346,233,80618
"44",350,233,81550
"50",350,235,82250
"51",348,235,81780
"52",346,235,81310
"53",344,234,80496
