"","w","h","A"
"2",56,36,2016
"3",56,36,2016
"9",56,37,2072
"10",56,35,1960
"11",56,37,2072
"12",56,37,2072
"13",56,35,1960
"14",56,37,2072
"15",58,37,2146
"16",58,37,2146
"17",58,37,2146
"18",58,37,2146
"19",58,37,2146
"20",58,37,2146
"21",58,37,2146
"22",58,37,2146
"23",58,37,2146
"24",58,37,2146
"25",56,35,1960
"26",56,37,2072
"27",56,35,1960
"28",56,37,2072
"29",56,37,2072
"30",56,36,2016
"31",56,36,2016
"32",56,37,2072
"33",56,35,1960
"34",56,35,1960
"35",56,36,2016
"36",56,37,2072
"37",56,35,1960
"38",56,37,2072
"39",58,37,2146
"40",56,36,2016
"41",56,35,1960
"42",56,37,2072
"43",56,35,1960
"44",56,36,2016
"45",56,36,2016
"47",56,35,1960
"48",56,36,2016
"49",56,37,2072
"50",56,37,2072
"51",56,36,2016
"52",56,38,2128
