w , h , A
346 , 239 , 82694
348 , 241 , 83868
348 , 237 , 82476
348 , 239 , 83172
346 , 239 , 82694
346 , 239 , 82694
316 , 224 , 70784
346 , 238 , 82348
346 , 237 , 82002
344 , 237 , 81528
346 , 233 , 80618
344 , 229 , 78776
342 , 230 , 78660
344 , 229 , 78776
342 , 230 , 78660
344 , 231 , 79464
342 , 231 , 79002
346 , 229 , 79234
344 , 229 , 78776
344 , 231 , 79464
344 , 231 , 79464
344 , 231 , 79464
344 , 229 , 78776
344 , 231 , 79464
344 , 231 , 79464
344 , 231 , 79464
342 , 231 , 79002
344 , 231 , 79464
344 , 231 , 79464
344 , 231 , 79464
344 , 231 , 79464
342 , 231 , 79002
342 , 231 , 79002
342 , 231 , 79002
342 , 231 , 79002
344 , 229 , 78776
344 , 230 , 79120
344 , 231 , 79464
346 , 229 , 79234
346 , 229 , 79234
344 , 229 , 78776
344 , 232 , 79808
346 , 233 , 80618
350 , 233 , 81550
354 , 239 , 84606
356 , 241 , 85796
356 , 241 , 85796
354 , 235 , 83190
352 , 239 , 84128
350 , 235 , 82250
348 , 235 , 81780
346 , 235 , 81310
344 , 234 , 80496
