w , h , A
48 , 30 , 1440
48 , 30 , 1440
48 , 30 , 1440
48 , 30 , 1440
48 , 30 , 1440
48 , 30 , 1440
48 , 31 , 1488
48 , 31 , 1488
46 , 31 , 1426
48 , 31 , 1488
48 , 31 , 1488
46 , 31 , 1426
48 , 31 , 1488
46 , 32 , 1472
46 , 31 , 1426
46 , 31 , 1426
46 , 31 , 1426
46 , 31 , 1426
46 , 31 , 1426
48 , 31 , 1488
48 , 31 , 1488
48 , 31 , 1488
48 , 30 , 1440
48 , 29 , 1392
48 , 29 , 1392
48 , 31 , 1488
48 , 31 , 1488
48 , 31 , 1488
48 , 30 , 1440
48 , 31 , 1488
48 , 29 , 1392
48 , 31 , 1488


