w , h , A
190 , 130 , 24700
194 , 130 , 25220
192 , 130 , 24960
192 , 130 , 24960
194 , 131 , 25414
194 , 130 , 25220
192 , 130 , 24960
194 , 130 , 25220
194 , 130 , 25220
194 , 130 , 25220
192 , 130 , 24960
192 , 130 , 24960
194 , 130 , 25220
190 , 128 , 24320
190 , 128 , 24320
190 , 127 , 24130
192 , 127 , 24384
190 , 126 , 23940
190 , 127 , 24130
190 , 126 , 23940
192 , 125 , 24000
192 , 125 , 24000
190 , 127 , 24130
190 , 126 , 23940
190 , 126 , 23940
192 , 127 , 24384
190 , 127 , 24130
190 , 125 , 23750
190 , 127 , 24130
190 , 126 , 23940
192 , 126 , 24192
192 , 127 , 24384
190 , 128 , 24320
194 , 129 , 25026
192 , 129 , 24768
190 , 128 , 24320
192 , 128 , 24576
194 , 130 , 25220
192 , 129 , 24768
192 , 127 , 24384
190 , 128 , 24320
192 , 128 , 24576
192 , 129 , 24768
190 , 129 , 24510
190 , 127 , 24130
188 , 127 , 23876
188 , 127 , 23876
188 , 126 , 23688
186 , 124 , 23064
184 , 124 , 22816
182 , 124 , 22568
182 , 123 , 22386
182 , 122 , 22204
178 , 120 , 21360
178 , 120 , 21360
178 , 121 , 21538
180 , 121 , 21780
182 , 121 , 22022
182 , 121 , 22022
182 , 123 , 22386
184 , 123 , 22632
186 , 124 , 23064
188 , 125 , 23500
188 , 124 , 23312
190 , 127 , 24130
192 , 129 , 24768
190 , 130 , 24700
192 , 129 , 24768
192 , 129 , 24768
190 , 130 , 24700
190 , 130 , 24700
190 , 129 , 24510
190 , 130 , 24700
190 , 130 , 24700
190 , 129 , 24510
190 , 129 , 24510
190 , 129 , 24510
190 , 130 , 24700
192 , 132 , 25344
192 , 133 , 25536
192 , 134 , 25728
194 , 135 , 26190
192 , 134 , 25728
192 , 134 , 25728
190 , 132 , 25080
188 , 129 , 24252
188 , 127 , 23876
186 , 124 , 23064
186 , 124 , 23064
186 , 122 , 22692
186 , 122 , 22692
186 , 123 , 22878
184 , 122 , 22448
184 , 122 , 22448
184 , 121 , 22264
184 , 122 , 22448
184 , 123 , 22632
188 , 123 , 23124
186 , 123 , 22878
186 , 123 , 22878
184 , 121 , 22264
186 , 119 , 22134
178 , 119 , 21182
166 , 116 , 19256
150 , 113 , 16950
132 , 111 , 14652
112 , 100 , 11200
12 , 12 , 144
14 , 11 , 154
26 , 38 , 988
