"","w","h","A"
"1",48,30,1440
"2",48,30,1440
"3",48,30,1440
"4",48,30,1440
"5",48,30,1440
"6",48,30,1440
"7",48,31,1488
"8",48,31,1488
"9",46,31,1426
"10",48,31,1488
"11",48,31,1488
"12",46,31,1426
"13",48,31,1488
"14",46,32,1472
"15",46,31,1426
"16",46,31,1426
"17",46,31,1426
"18",46,31,1426
"19",46,31,1426
"20",48,31,1488
"21",48,31,1488
"22",48,31,1488
"23",48,30,1440
"24",48,29,1392
"25",48,29,1392
"26",48,31,1488
"27",48,31,1488
"28",48,31,1488
"29",48,30,1440
"30",48,31,1488
"31",48,29,1392
"32",48,31,1488
