w , h , A
86 , 56 , 4816
86 , 56 , 4816
84 , 55 , 4620
84 , 56 , 4704
84 , 56 , 4704
84 , 56 , 4704
84 , 56 , 4704
84 , 56 , 4704
84 , 56 , 4704
84 , 56 , 4704
84 , 54 , 4536
84 , 55 , 4620
86 , 55 , 4730
86 , 54 , 4644
84 , 55 , 4620
84 , 54 , 4536
84 , 54 , 4536
82 , 53 , 4346
82 , 54 , 4428
82 , 53 , 4346
84 , 53 , 4452
82 , 53 , 4346
82 , 52 , 4264
82 , 53 , 4346
84 , 54 , 4536
84 , 55 , 4620
84 , 55 , 4620
84 , 55 , 4620
86 , 55 , 4730
86 , 56 , 4816
86 , 55 , 4730
86 , 56 , 4816
86 , 56 , 4816
86 , 55 , 4730
86 , 57 , 4902
88 , 57 , 5016
88 , 56 , 4928
88 , 57 , 5016
88 , 57 , 5016
88 , 58 , 5104
88 , 57 , 5016
88 , 57 , 5016
88 , 59 , 5192
