"","w","h","A"
"1",40,26,1040
"2",40,26,1040
"3",40,26,1040
"4",40,26,1040
"5",40,26,1040
"6",40,26,1040
"7",40,26,1040
"8",40,26,1040
"9",40,26,1040
"10",40,26,1040
"11",40,26,1040
"12",40,26,1040
"13",40,26,1040
"14",42,25,1050
"15",42,26,1092
"16",42,25,1050
"17",42,27,1134
"18",42,26,1092
"19",42,26,1092
"20",42,26,1092
"21",42,26,1092
"22",42,26,1092
"23",42,26,1092
"24",40,26,1040
"25",40,26,1040
"26",40,26,1040
"27",40,26,1040
"28",40,26,1040
"29",42,26,1092
"30",40,26,1040
"31",40,26,1040
"32",40,26,1040
"33",40,26,1040
"34",40,26,1040
"35",40,26,1040
"36",40,26,1040
"37",40,26,1040
"38",42,26,1092
