w , h , A
19 , 21 , 399
20 , 21 , 420
19 , 21 , 399
54 , 35 , 1890
55 , 71 , 3905
53 , 71 , 3763
110 , 72 , 7920
111 , 73 , 8103
111 , 73 , 8103
112 , 73 , 8176
112 , 73 , 8176
112 , 73 , 8176
112 , 73 , 8176
112 , 73 , 8176
112 , 73 , 8176
113 , 73 , 8249
114 , 73 , 8322
114 , 74 , 8436
114 , 73 , 8322
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
112 , 74 , 8288
112 , 74 , 8288
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
112 , 76 , 8512
114 , 77 , 8778
114 , 79 , 9006
114 , 77 , 8778
114 , 75 , 8550
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
114 , 74 , 8436
112 , 75 , 8400
112 , 74 , 8288
112 , 73 , 8176
112 , 72 , 8064
112 , 72 , 8064
110 , 72 , 7920
110 , 71 , 7810
110 , 72 , 7920
110 , 72 , 7920
110 , 72 , 7920
112 , 71 , 7952
110 , 73 , 8030
112 , 72 , 8064
112 , 74 , 8288
112 , 74 , 8288
112 , 75 , 8400
114 , 74 , 8436
114 , 75 , 8550
114 , 75 , 8550
